frame.number,frame.time_delta_displayed,ip.src,ip.dst,udp.srcport,udp.dstport,frame.len,dns.id,dns.flags.response,dns.flags.opcode,dns.qry.name,dns.qry.type,dns.a,dns.txt,dns.txt.length,dns.flags.rcode
"126","0.712303000","192.168.183.2","192.168.183.133","53","52968","370","0x0000ac3b","1","0","api.386d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"zPubcCpMwzf/RpU8RtHUrSEYyKaZ3/up/UPmdISg/Emb+8mbJfbfNi5C8vJWnDX8T12dJHDZxm4h8WfSffzgYR0jhR5ERgnndcNjRhHsrg2HQaKh70/FLwsQUFzLs6Nz9ZdipeAerKuAq+9iqoLmsqpkrd/L8NMAZDtH3LIQwRrAsiG0z6D6Soqlo3hki9rEl2L29IXzJQGAMw8RB/YmIpc2zCacjyh0MEZjAZORG508C8zdzeNYM8QfL20m","252","0"
"127","0.000996000","192.168.183.133","192.168.183.2","57860","53","105","0x000030da","0","0","api.396d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"128","0.507469000","192.168.183.2","192.168.183.133","53","57860","370","0x000030da","1","0","api.396d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"Hes2UW//3aTeJL9P6d+K580PV2lQZxJCHkDRUKJ42Wbpoe5fkJ78mZ1OXJMIxMWPUSYK2mSdlHj52tNd1ekuXsBcZOGQInKEeS/Xlsz3ReqV1h3y4o0xJRfB66whsMc2ZylIn40Ud3eKdY81doFZVvy7F8yhR8PuZMNicsRoSsEW2V90rMUAve2PaI0Q6OlDCLQ3OAmyGfssWR/YCsVL20nSuhn+gnrTebQDkhw62JDYWut8KfzdtYqw74Wn","252","0"
"129","0.000817000","192.168.183.133","192.168.183.2","51844","53","105","0x0000fc06","0","0","api.3a6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"130","0.150018000","192.168.183.2","192.168.183.133","53","51844","370","0x0000fc06","1","0","api.3a6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"ixdp2US8O0amwa6hRxfa6Zei6W66CcxL8Q4KwOB0RlRQS6CwSYPIxPz4ae3t/+5Ut+ZAz2kKeLgG3EhGg+gewtNTAb8S09+JL+pAbVKx7TTGYRwl1P8gHOsodaBx4caskLsgQJ0k8HA6/P0BlLD4cilHeHVWK0gi6vnM2ywKCh4ca3/0Cky1AXZ0+H9lXZe1CRRYjNuEIGT9iXygjSn7UAeDth1bAOVp4einby8GOCsGrT8OslKISK313dHl","252","0"
"131","0.001033000","192.168.183.133","192.168.183.2","58548","53","105","0x00000c0a","0","0","api.3b6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"132","0.074916000","192.168.183.2","192.168.183.133","53","58548","370","0x00000c0a","1","0","api.3b6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"/EFUCK+gxVBU+TJ4KxEnVYytgqOlCQl8bAb1yNZmAWYo8syTU2CLEvUEesOrKsElu+kzz8viv7XGP2q+GhMmDIwxRmQmgoN6xfDmnLT0Gzu3TaFYwp4bedBetB8hFKrvclHHIC4RvG+1jblzDXibapONtm2hPvopTBLKGH1V1GZkssLH+42qMEK25tpm5UbnGkpZoctNtuDXSD7cciIazRqb24GzZ3o/uqdc0vuBf7jPg/b1DYruu39EWOtd","252","0"
"133","0.001010000","192.168.183.133","192.168.183.2","56789","53","105","0x00002659","0","0","api.3c6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"134","0.049540000","192.168.183.2","192.168.183.133","53","56789","370","0x00002659","1","0","api.3c6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"UmsK/YgwHRsIL7Xh+M+o8s+hJZJxR9AMO6fNzq850fkhSJ8e2jSbXd+rHAnUcOeVMzpXD0egq/RZD1EoHEI6Ei/QWVfUT/zmlfBxtvtZc+AFHKeHqmnH86aRtM6kAdXxFgXJocopHIrW2wcRhTujJTm8AOh7SaN2SVDy7Jo9fgFkd3BBRIV8/mn++tTcQfejbqIL7iCkG9jQwsjWy2aL+JXJHAJIEVpdxChm6uy6d/wieg2rGHMzZ9j7nRpE","252","0"
"135","0.000978000","192.168.183.133","192.168.183.2","63061","53","105","0x0000d162","0","0","api.3d6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
"136","0.054406000","192.168.183.2","192.168.183.133","53","63061","370","0x0000d162","1","0","api.3d6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,"RyA/SwkXiKsHS29c9MbnxlmOvX9TBaCl+c4clRPjpMV4/6Evo6t1Pe/fAyzvG8jWNRjo7xCX2Q2SXw8wvu5o3U2p0wxFYLNFjZUl/dTeVtI3g++SygomKEFoXViSbK2HFIQKOzMnXkhRmrHUCWXHsW/NRFqC+ycCUR2Bm7DqEnyio9icBpGruZlnrRiFEGnl5oVY/Y+tmF0uM1adDb5ay/9iAL50ODRn+pegY0TDv0jb5NTDOFEgtbI/Dbkv","252","0"
"137","0.001018000","192.168.183.133","192.168.183.2","58823","53","105","0x00003956","0","0","api.3e6d866172.2f195fb2.ns1.ssltestdomain.xyz","16",,,,
